Регион,Подписи
Москва,25180
Московская область,3402
Санкт-Петербург,13804
Алтай,558
Алтайский край,3238
Амурская область,1
Архангельская область,2807
Башкортостан,3084
Белгородская область,1618
Брянская область,116
Бурятия,1500
Владимирская область,1761
Волгоградская область,2053
Вологодская область,2640
Воронежская область,2395
Забайкальский край,1048
Ивановская область,1590
Ингушетия,2
Иркутская область,3304
Калининградская область,2300
Калужская область,1152
Камчатский край,410
Карелия,1813
Кемеровская область,2626
Кировская область,2110
Коми,1747
Костромская область,1395
Краснодарский край,3914
Красноярский край,3650
Курганская область,863
Курская область,1215
Ленинградская область,2735
Липецкая область,1294
Марий Эл,1111
Мордовия,0
Мурманская область,1668
Нижегородская область,3249
Новгородская область,1621
Новосибирская область,4631
Омская область,2238
Оренбургская область,853
Орловская область,1175
Пензенская область,2254
Пермский край,3802
Приморский край,1033
Псковская область,1242
Ростовская область,3314
Рязанская область,1152
Самарская область,4063
Саратовская область,1619
Саха (Якутия),1042
Сахалинская область,0
Свердловская область,3106
Смоленская область,200
Ставропольский край,270
Тамбовская область,1399
Татарстан,4635
Тверская область,1890
Томская область,3227
Тульская область,3174
Тыва,517
Тюменская область,2890
Удмуртия,0
Ульяновская область,1148
Хабаровский край,0
Ханты-Мансийский автономный округ,913
Челябинская область,3035
Чувашская Республика,2666
Ярославская область,2793
